origional tweet,user
RT @MFA_Ukraine: 2️⃣6️⃣4️⃣ days of full-scale Russia’s war on #Ukraine.  Information on #Russian invasion. Losses of #Russia’s armed forces…,Dmytro Senik
"RT @Maks_NAFO_FELLA: Biden 🇺🇸 : ""The return of Kherson is a significant victory for #Ukraine 🇺🇦. The US will continue to provide weapons to…",Mandy Allan
RT @KramarenkoMari3: Official comment on the russian #Wagner mercenary by @StratCom_AFU: The Ukrainian side regularly puts up for exchange…,Pieter Vanderwee🔻
"RT @TheStudyofWar: ISW: Alexander #Dugin, a pro-war ultranationalist, said #Putin has a responsibility to preserve #Russia or face the fate…",Roy Dodd
"RT @KramarenkoMari3: @ICRC still is not allowed by #Russia to visit Ukrainian pows, its 9th month of war. You can read some article about i…",Frank Fischer
"RT @fmod1: BREAKING NEWS:  This is happening right now in #Highgate, London, where this roundabout has been renamed this morning in honour…",David Rader
"RT @TheStudyofWar: ISW: Alexander #Dugin, a pro-war ultranationalist, said #Putin has a responsibility to preserve #Russia or face the fate…",International Legion of Defense of Ukraine (ILDU)
RT @SamuelRobertLu1: “WAR” DECLARED ON #RUSSIA - #CHINA - #IRAN - #SYRIA - #NORTHKOREA~#INDIA ~ &amp; “ALL #SCO MEMBERS”!!!  “BY” -  The Milita…,Andrea Garrett
"RT @KramarenkoMari3: How is the investigation on #Olenivka massacre is going, btw? @UN @ICRC just wanted to say, that if Ukraine has an opt…",Frank Fischer
RT @raging545: Ukraine may have captured the Kinburn Spit and the Kinburn peninsula #Ukraine #russia #Putin #ukrainewar #RussiaIsATerrorist…,UkraineWar 🇹🇭 🇺🇦 🇰🇷
"RT @TheStudyofWar: ISW: Alexander #Dugin, a pro-war ultranationalist, said #Putin has a responsibility to preserve #Russia or face the fate…",Poem Hatcher
"RT @TheStudyofWar: ISW: Alexander #Dugin, a pro-war ultranationalist, said #Putin has a responsibility to preserve #Russia or face the fate…",Aggre-Gator UA🌻
@AlexeyKovalen10 @KyivIndependent That's why Kive deserve a nuclear attack from #Russia,Roma
Listen to #AlienEVP through a #SpiritBox https://t.co/TmRWzCWHB8 via @YouTube #Russia #Ukraine #Canada #Uruguay #Panama #Chile #Afghanistan #Mongolia #China #Japan #Latvia #Germany #Luxembourg,Christan Keith Bowen
RT @MFA_Ukraine: 2️⃣6️⃣4️⃣ days of full-scale Russia’s war on #Ukraine.  Information on #Russian invasion. Losses of #Russia’s armed forces…,John Benjamin
"""Days after Russia withdrew from Kherson, President Volodymyr Zelensky of Ukraine visited the city. Russian forces that retreated across the Dnipro River continued shelling areas they abandoned.""  #Ukraine #Kherson #Kyiv #Zelensky #Russia #NATO  https://t.co/w2uRL6oAxX",patriot_X
RT @RussianEmbassy: Dmitry #Medvedev: #Russia is fighting alone against #NATO and the West. Any parallels with the past are either incorrec…,Paz Ortega Andrade⏳
RT @Blue_Sauron: The Ukrainian 57th Motorized Brigade released footage showing high-precision artillery strikes against Russian army equipm…,Phil
Half of u wanted me dead the other half wanted to control me. Neither of u crabs cults... 🔥 🔥 🔥 now u have an anti-hero to deal with with real powers #nationofislam #Namor #BlackTechTwitter #Russia #reset #recarnation #ramifications #facebookhacked #shoryukin #inanna #jamaica https://t.co/KmZxJyuGku,Kain Samuel Marjin Sabaoth Mason
RT @RussianEmbassy: Dmitry #Medvedev: #Russia is fighting alone against #NATO and the West. Any parallels with the past are either incorrec…,William's48
RT @NewsMelt: #BREAKING GREAT VIDEO From #Ukraine: Dogs Of War. #Ukrainian Soldier Reunited With #Dog After Two Months. RAW VIDEO    #Ukrai…,Kelly Terry
RT @Blue_Sauron: The Ukrainian 57th Motorized Brigade released footage showing high-precision artillery strikes against Russian army equipm…,Grmpf
"RT @SenateForeign: Nearly 9 months since #Russia’s war on #Ukraine began, the Biden Admin continues to extend exemption for energy transact…",Ryan Tully
"RT @Maks_NAFO_FELLA: Biden 🇺🇸 : ""The return of Kherson is a significant victory for #Ukraine 🇺🇦. The US will continue to provide weapons to…",johnnieja23IRISH FELLA ☘️🇮🇪☘️🇺🇦✌️
RT @NATOpress: 🆕📹#NATO Secretary General @jensstoltenberg: #Russia’s withdrawal from #Kherson shows the courage of #Ukraine’s forces and th…,José Vilanova Fernández
The full podcast this week on Ukraine and Russia;  https://t.co/1edKWSvPgo @LyallGrant #UkrainianArmy #Russia #Putin,Dana Lewis
RT @Skenderbeu__: Somewhere in Ukraine - writing says 'Skeleton of Russian orc' #Russia #Україна #UkraineWar #Orcs #RussianArmy https://t.c…,Skënderbeu
"RT @KramarenkoMari3: #Lavrov with #Iphone #iwatch and wearing merch of Jean-Michel Basquiat, an American artist. Poor guy, still wants to l…",Neuman 🇺🇦
Ukraine War Map | Footage of disorganized Russian Retreat in Kherson | Ukraine Gains ground in East #Russia #Ukraine #UnitedStates #Kyiv #UkraineWar #kherson https://t.co/wmtAqOj1lM,news poster
"RT @MilkyWa34808762: .  .         🇷🇺  .  💍 Valery Elmashev, a firefighter from #Sverdlovsk region, proposed his hand and heart to his girlf…",Devendra Socialist
"@KyivIndependent Great step by President #Putin, India have 50 million people ready to join #Russia Army",Roma
RT @imRavikantYadav: *#Tirupati megalithic burial sites in a state of neglect-info *In Sept Govt took call to double #Russia trade * @DrSJa…,Him@nshi जादौन
Sorry. How the f*ck is that even a legitimate question for anyone to be asking the US??  It's NO ONE'S place to negotiate with #Russia EXCEPT #Ukraine - the country doing the fighting and dying. Period. #StandWithUkraine https://t.co/FlymgFRgoe,Oksanna Oricia (Оксана Збігла) 🇺🇦🇨🇦
