origional tweet,user
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,ONOGUR
RT @BabakTaghvaee1: It has turned out that the attack was not carried-out by a suicide bomber but by means of a bomb package left by an Al-…,Ordo Militaris Catholicus
"“We categorically deny any link to Ahlam al-Bashir, the perpetrator of the terrorist attack in Istanbul “  “this play was prepared by the Govt of the AK Party &amp; Erdogan because of the upcoming elections”  Statement by #YPG on Turkish Accusations  #Syria   https://t.co/s6Ch3AB9rq https://t.co/bSzGUigWDg",EastMedMonitor
RT @SamuelRobertLu1: “WAR” DECLARED ON #RUSSIA - #CHINA - #IRAN - #SYRIA - #NORTHKOREA~#INDIA ~ &amp; “ALL #SCO MEMBERS”!!!  “BY” -  The Milita…,Andrea Garrett
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,༄𝐈𝐧𝐣𝐮𝐬𝐭𝐢𝐜𝐞 🔚𝗭✊💛
"RT @HerryNapit: Viral: Torture, rape and executions: Russian Wagner Group tactics in Syria, Libya, Ukraine: Bakhmut, Svatove, Dnipro, Khers…",Terri
Cholera Outbreak Amid Civil War: A Public Health Crisis in Syria https://t.co/t5AcIVO1eG   @syedhassanhere   #Cholera #Syria #CholeraInSyria  #كوليرا #سوريا #الحرب_في_سوريا,Abdulqadir Nashwan
"RT @HerryNapit: Viral: Torture, rape and executions: Russian Wagner Group tactics in Syria, Libya, Ukraine: Bakhmut, Svatove, Dnipro, Khers…",🏳️‍🌈Dark Souled🏳️‍⚧️🖤🐘🤍💜
RT @CoopMesopotamia: 🌈 Kongra Star women's movement of North and East #Syria have opened an ideological academy for women and men in Hesekê…,Amnesty/RojavaStatus/Maxmur0Embargo/0Fly&DefForces
"RT @QalaatAlMudiq: Insane day in town of #Daraa. Surrounded, #ISIS launched the first ever SVBIED in S. #Syria in 5 years, targeting ex-Reb…",Rocket Man
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",John Power
"RT @wallacemick: The #US and #EU are killing innocent people in #Syria with illegal Sanctions, and they don't give a damn. Why are the MEP'…",Magdalena
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",CerkesLer
RT @Ankaraford06: 📍The murderous  Baby Killer PKK has been whitewashed and transplanted into #Syria by the West as the defender of Western …,Dost Khan
"#InCaseYouMissedIt The MoD in the Interim Government, Hassan Hamada, met with commanders of the three #SNA corps to discuss the security issues in the liberated areas #Syria #سوريا #الحكومة_المؤقتة #الجيش_الوطني_السوري #الفيلق_الثالث #الفيلق_الثاني #الفيلق_الأول https://t.co/9VCpcAeTdS",Idlib Calling
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Pınar G.
RT @Syriaaaaidlb: More than 400k children living in tragic conditions in the IDP camps in #Idlib #Syria Please' contribute here to help peo…,EatingMyPeaz
RT @Bitcoin_Xoe: @nayibbukele 💯  No person controls #bitcoin. No single entity is the owner of #Bitcoin. This is why everyone globally is a…,Mermaid
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",Dozken Weso Osman
"🚨New in RTWT!🚨  ""Can (Salafi) jihadi insurgents politicise and become pragmatic in civil wars? Social movement restraint in Ahrar al-Sham in Syria""  https://t.co/WgiOXi52zf  @jeromedrev @CrisisGroup @GVAGrad   #Syria #Jihad https://t.co/ui55qROhvf",thirdworldq
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Kabanda Ayub Muhsin
"📍 #Syria  Nizar, 8, suffered from fever, headaches and frequent vomiting. Following an examination, he was diagnosed with bacterial #meningitis.  Nizar received 8 days of treatment at our #hospital, and has now made a full recovery! 🏥  Find out more 👉https://t.co/bzalUBhO5W https://t.co/oWNYvO0QIB",Action For Humanity
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",✌Botan✌
"🌈 Kongra Star women's movement of North and East #Syria have opened an ideological academy for women and men in Hesekê Canton. This is the 1st academy @starrcongress have opened for education of all genders, as they are usually for women only.  #Rojava https://t.co/FKWMFoqBDo",Co-operation in Mesopotamia
"Insane day in town of #Daraa. Surrounded, #ISIS launched the first ever SVBIED in S. #Syria in 5 years, targeting ex-Rebels &amp; 8th Brigade. Another SVBIED ready to be used was seized as well as weapons. https://t.co/LGPMz1DiK8",Qalaat Al Mudiq
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",Alaa Hamo
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,McIslamofobia
"The #cholera outbreak increases the suffering of civilians in NW #Syria. In light of a weak health sector and the lack of necessities of life, our teams intensify awareness sessions to ensure the safety of civilians and children to reduce chances of infection and limit its spread https://t.co/HpkFkpAWdv",The White Helmets
"Damascus governorate has recently allowed former residents of al-Qaboun to restore their damaged houses at their expense, while talks of the implementation of an urban plan in the area continue in regime circles.   #EnabBaladi #Syria   https://t.co/e7VT60SXWs",Enab Baladi
RT @nadinemaenza: Anyone else questioning #Turkey’s quick investigation so Erdogan can blame NE #Syria in order to justify an invasion - es…,Matt Martin 🇺🇦 🇦🇲
RT @fgeerdink: 1200 turkish flags planted on #istiklal street. it's a #scenario put into practice. i'm scared for what's coming. #turkey #s…,Hrag
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",Hunar
RT @NTenzer: My latest in @DeskRussie_en where I ask disturbing questions about the relatively weak reaction of part of the Russian opposit…,Rebus Sic Stantibus
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Prof. Dr. Hasan Ünal
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Ericairlines
RT @Syriaaaaidlb: More than 400k children living in tragic conditions in the IDP camps in #Idlib #Syria Please' contribute here to help peo…,Ahmad idlib
Iran issues first known death sentence linked to recent protests  #Iran #Tehran #IranDeal #Iraq #Baghdad #JCPOA  #IAEA #Israel #INSTEX #MiddleEast #Pentagon #Syria #JoeBiden #HassanRouhani #NuclearProgram #Sanctions https://t.co/svvX81bICr,PhatzNewsRoom
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",Salma Typhii
RT @baselm: 🥀 Enough 🛑 Wars 🥀 Check out my store: https://t.co/3AerECW0bo .  #ai #aiart #digitalart  #photooftheday #war #photography #sadn…,Education World
"RT @lineva_veman: 62 years ago, 300 Kurdish children were burned alive by the Syrian occupation regime while they watched a movie in a cine…",Hebun u Tunnebun
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",rohatmizgin
RT @fgeerdink: also #sdf general commander mazlum abdi @MazloumAbdi denies any involvement in yesterday's bombing in #istanbul. #syria #tur…,Botan Bagog
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Linda J. -- #ReadWSWS
RT @Syriaaaaidlb: More than 400k children living in tragic conditions in the IDP camps in #Idlib #Syria Please' contribute here to help peo…,Saddiq shah
"RT @WFP_Syria: The world is expecting a tough winter with a global surge in energy crisis, but what does it mean for food insecure families…",UN in Syria
