origional tweet,user
RT @MFA_Ukraine: 2️⃣6️⃣4️⃣ days of full-scale Russia’s war on #Ukraine.  Information on #Russian invasion. Losses of #Russia’s armed forces…,Dmytro Senik
RT @DickandSharon: What Climate Change Should Have Taught Us• @rajan_menon_ • https://t.co/UQM09JMsMb  Does an international community conn…,Left Coast Forum🌹
"RT @francediplo_EN: ❝ G20 Summit ｜In #Indonesia with President @EmmanuelMacron, @BrunoLeMaire and @CZacharopoulou  We must respond to the c…",Sophie Rousseau Dracopoulou
"Another curious weapon appears in #Ukraine- a Chinese 🇨🇳 W85 12.7x108 HMG mounted on a Ukrainian technical.  Sourcing is unclear; whilst the W85 is very rare in Europe, this may have been purchased further afield or from intercepted Iranian deliveries to the Houthis.  📸@ragnars https://t.co/76SLaRCHuf",Hadeon
RT @MriyaReport: Protecting and saving the Ukrainian flag during the occupation of #Kherson was a way of preserving one’s identity. She has…,Sian LeCrazz ⁷
RT @SlavaUk30722777: 🇺🇦In Lviv #Ukraine we have a home for rescued animals that have lost owners or are shell shocked. Some run away and hi…,Shanyn Silinski
RT @DickandSharon: What Climate Change Should Have Taught Us• @rajan_menon_ • https://t.co/UQM09JMsMb  Does an international community conn…,LA Progressive
RT @MFA_Ukraine: 🇺🇦FM @DmytroKuleba at FAC: “No other country in the world wants peace in Ukraine more than #Ukraine itself. Russia must wi…,Dmytro Senik
RT @MFA_Ukraine: 🇺🇦FM @DmytroKuleba at FAC: “No other country in the world wants peace in Ukraine more than #Ukraine itself. Russia must wi…,@mathias@gruene.social
RT @DickandSharon: What Climate Change Should Have Taught Us• @rajan_menon_ • https://t.co/UQM09JMsMb  Does an international community conn…,LA Progressive
"[On Air @Powerfm987] w/ @MararaMoabelo @g20org: US, China, &amp; #SouthAfrica &amp; African Representation at G20. @POTUS call w/ #China's President Xi Xingping. @JakeSullivan46 #Ukraine additional #security assistance. Dr. Sherwood-Randall #counterterrorism mtg w/ President @NAkufoAddo https://t.co/GE1yXOGGP0",Pearl Matibe
"RT @Maks_NAFO_FELLA: Biden 🇺🇸 : ""The return of Kherson is a significant victory for #Ukraine 🇺🇦. The US will continue to provide weapons to…",Mandy Allan
RT @ukrcancongress: Thank you for this important additional support and for Canadian commitment to #Ukraine. Ukraine's Armed Forces are dri…,John Benjamin
"RT @capitaliztpigs: The Ukraine conflict sure is convenient for poor ol Trudeau 🤔  “Oh my gosh, what a welcome distraction from the fact th…",Nick Brennan
RT @DickandSharon: What Climate Change Should Have Taught Us• @rajan_menon_ • https://t.co/UQM09JMsMb  Does an international community conn…,Hollywood Progressive🌹
RT @Heroiam_Slava: Residents of Kherson are finally calling their relatives - mobile GSM/LTE services was restored yesterday. 🇺🇦 #Ukraine h…,Raz Tracker
RT @BorderCzar: #Ukraine was in fact a Democrat money laundering operation! #FTXScam,"""The Patriot "" Pat Riot 🔨🇺🇸🦅"
