origional tweet,user
Hungarian FM Peter Szijjarto has said his country will be the only EU nation to not take part in training Ukrainian troops;  Szijjarto’s comments came after Finland revealed it would consider training Ukrainian soldiers.   #UkraineRussiaWar,Venkatesh Ragupathi
"RT @M_S_A_Institute: As many military observers have noted, in the Russian-Ukrainian conflict, CAS and SEAD operations are the weakness of…",Dr_Sh
RT @NewsMelt: #BREAKING GREAT VIDEO From #Ukraine: Dogs Of War. #Ukrainian Soldier Reunited With #Dog After Two Months. RAW VIDEO    #Ukrai…,Kelly Terry
On Back Story the fmr UK National Security Advisor Mark Lyall Grant on why #Russia can't be allowed to win in #Ukraine.  What's really at stake in this war?  @LyallGrant #UkraineRussiaWar   https://t.co/0owjmBsXdL,Dana Lewis
RT @Militarylandnet: 📽️Ukrainian soldiers heading towards Kinburn Spit. The liberation of the remaining occupied part of Mykolaiv Oblast is…,Raz Tracker
"RT @M_S_A_Institute: As many military observers have noted, in the Russian-Ukrainian conflict, CAS and SEAD operations are the weakness of…",Cicke 🇷🇸 🇷🇺 🇺🇸☮🇧🇷🇮🇳🇨🇳🇿🇦
😪In #Kherson region #Russians HANGED Red Book HAMSTERS for fun.   #Ukraine  #StopRussiaNOW #UkraineRussiaWar #StandWithUkraine #SupportUkraine #StopPutin #StopRussia #RussiaInvadedUkraine #RussiaIsATerroristState #RedBook #RussiaIsLosing https://t.co/MCg5wxKQSN,Tamara
Reportedly a video of a helicopter attack towards East of Dnipro. #OSINT #Ukraine #Kherson #UkraineRussiaWar https://t.co/eivOthyOEW,@PStyleOne1@mastodon.online
"RT @TulioWars: Unconfirmed news from #Olehsky,Kherson . UA forces seem to have liberated the town. 🇷🇺 forces withdrew after relentless arti…",The Frog Dies 💎
"RT @owarino_outsuke: 🇷🇺🇺🇦Russian soldiers inspecting the Ukrainian heavy equipment they have just destroyed  - Hey, look! Isn't it a ""Sting…",Hamath   Smael
RT @ukrainewar24: ⚡️ Bodies of 4 civilians with signs of tortures were found in Kupiansk-Vuzloviy. #UkraineRussiaWar https://t.co/Y7oQmdloNl,Sarah 🙃💖💋💖✌️
RT @ukrainewar24: ⚡️ Bodies of 4 civilians with signs of tortures were found in Kupiansk-Vuzloviy. #UkraineRussiaWar https://t.co/Y7oQmdloNl,Brak Sów
RT @Militarylandnet: 📽️🇺🇦🛥️Ukrainian troops crossing Dnipro river #UkraineRussiaWar https://t.co/TVBBZen2eR,brotesverdeshouse
RT @cuumburgerrr: ong i forgot about the ukraine and russia war i want ukraine to win but russia for sure gonna win like no way ukraine is…,contriveersaloppinnionssss
